loss,config,halt_threshold,n_sup,epoch,train_ce,train_qloss,avg_steps_train,halt_logit_mean,halt_logit_std,halt_logit_max,pct_logit_gt0,pct_logit_gt1p5,train_pct_step1,train_pct_never,val_acc,val_steps_mean,val_pct_step1,val_pct_never
binary-em,nsup-1,0.0,1,20,0.5408,0.3399,1.0,-2.189,0.352,-0.644,0.0,0.0,100.0,100.0,8.90,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,30,0.2601,0.6539,1.0,0.304,0.731,3.389,63.9,5.7,100.0,100.0,72.50,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,40,0.0558,0.2249,1.0,3.171,1.219,7.991,99.5,90.7,100.0,100.0,95.46,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,50,0.0244,0.1460,1.0,3.755,0.986,7.345,99.9,98.2,100.0,100.0,95.22,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,60,0.0207,0.1164,1.0,4.211,1.146,8.554,99.9,98.6,100.0,100.0,87.20,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,70,0.0261,0.1265,1.0,4.100,1.251,8.390,99.9,97.5,100.0,100.0,98.24,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,80,0.0144,0.0998,1.0,4.324,1.055,8.690,100.0,99.3,100.0,100.0,98.32,1.00,100.0,100.0
binary-em,nsup-1,0.0,1,90,0.0196,0.0953,1.0,4.662,1.441,10.028,99.9,98.6,100.0,100.0,99.06,1.00,100.0,100.0
binary-em,nsup-16,0.0,16,0,1.6314,0.0194,15.957356076759062,-7.889,2.714,0.093,0.2,0.0,0.4,99.6,0.08,16.00,0.0,100.0
binary-em,nsup-16,0.0,16,10,0.6857,0.2629,16.0,-2.700,0.540,-0.138,0.0,0.0,0.0,100.0,6.96,16.00,0.0,100.0
binary-em,nsup-16,0.0,16,20,0.5552,0.3342,16.0,-2.225,0.361,-0.659,0.0,0.0,0.0,100.0,8.32,16.00,0.0,100.0
binary-em,nsup-16,0.0,16,30,0.5107,0.4223,16.0,-1.791,0.381,-0.270,0.0,0.0,0.0,100.0,14.24,16.00,0.0,100.0
binary-em,nsup-16,0.0,16,40,0.2863,0.6511,12.077469793887705,0.485,0.434,2.561,87.1,1.1,89.4,8.5,52.06,1.61,93.5,3.8
binary-em,nsup-16,0.0,16,50,0.3082,0.5934,10.985785358919687,0.720,0.699,3.676,85.7,13.0,89.3,9.1,85.80,1.06,99.5,0.4
binary-em,nsup-16,0.0,16,60,0.2086,0.3989,6.357498223169865,0.710,0.923,6.222,83.9,10.8,93.6,5.8,96.54,1.00,100.0,0.0
binary-em,nsup-16,0.0,16,70,0.0147,0.0655,1.0127931769722816,4.808,1.170,8.674,100.0,99.6,100.0,0.0,98.72,1.00,100.0,0.0
