loss,config,halt_threshold,n_sup,epoch,sup_step,val_halt_logit_mean,val_acc
binary-em,nsup-1,0.0,1,80,1,4.450,98.32
binary-em,nsup-1,0.0,1,90,1,5.401,99.06
binary-em,nsup-16,0.0,16,0,1,-7.358,0.08
binary-em,nsup-16,0.0,16,0,2,-7.266,0.08
binary-em,nsup-16,0.0,16,0,3,-7.292,0.08
binary-em,nsup-16,0.0,16,0,4,-7.301,0.08
binary-em,nsup-16,0.0,16,0,5,-7.289,0.08
binary-em,nsup-16,0.0,16,0,6,-7.290,0.08
binary-em,nsup-16,0.0,16,0,7,-7.290,0.08
binary-em,nsup-16,0.0,16,0,8,-7.290,0.08
binary-em,nsup-16,0.0,16,0,9,-7.289,0.08
binary-em,nsup-16,0.0,16,0,10,-7.290,0.08
binary-em,nsup-16,0.0,16,0,11,-7.290,0.08
binary-em,nsup-16,0.0,16,0,12,-7.289,0.08
binary-em,nsup-16,0.0,16,0,13,-7.290,0.08
binary-em,nsup-16,0.0,16,0,14,-7.290,0.08
binary-em,nsup-16,0.0,16,0,15,-7.290,0.08
binary-em,nsup-16,0.0,16,0,16,-7.290,0.08
binary-em,nsup-16,0.0,16,10,1,-2.305,6.96
binary-em,nsup-16,0.0,16,10,2,-2.396,6.96
binary-em,nsup-16,0.0,16,10,3,-2.373,6.96
binary-em,nsup-16,0.0,16,10,4,-2.369,6.96
binary-em,nsup-16,0.0,16,10,5,-2.369,6.96
binary-em,nsup-16,0.0,16,10,6,-2.367,6.96
binary-em,nsup-16,0.0,16,10,7,-2.365,6.96
binary-em,nsup-16,0.0,16,10,8,-2.371,6.96
binary-em,nsup-16,0.0,16,10,9,-2.372,6.96
binary-em,nsup-16,0.0,16,10,10,-2.371,6.96
binary-em,nsup-16,0.0,16,10,11,-2.371,6.96
binary-em,nsup-16,0.0,16,10,12,-2.370,6.96
binary-em,nsup-16,0.0,16,10,13,-2.367,6.96
binary-em,nsup-16,0.0,16,10,14,-2.366,6.96
binary-em,nsup-16,0.0,16,10,15,-2.368,6.96
