loss,config,halt_threshold,n_sup,split,epoch,step,count,val_acc,note
softmean,halt-3.0,3.0,5,val,10,5,5000,6.62,includes never-halted
softmean,halt-3.0,3.0,5,train,20,1,0,9.00,
softmean,halt-3.0,3.0,5,train,20,2,0,9.00,
softmean,halt-3.0,3.0,5,train,20,3,0,9.00,
softmean,halt-3.0,3.0,5,train,20,4,0,9.00,
softmean,halt-3.0,3.0,5,train,20,5,45000,9.00,includes never-halted
softmean,halt-3.0,3.0,5,val,20,1,0,9.00,
softmean,halt-3.0,3.0,5,val,20,2,0,9.00,
softmean,halt-3.0,3.0,5,val,20,3,0,9.00,
softmean,halt-3.0,3.0,5,val,20,4,0,9.00,
softmean,halt-3.0,3.0,5,val,20,5,5000,9.00,includes never-halted
softmean,halt-3.0,3.0,5,train,30,1,0,13.52,
softmean,halt-3.0,3.0,5,train,30,2,0,13.52,
softmean,halt-3.0,3.0,5,train,30,3,0,13.52,
softmean,halt-3.0,3.0,5,train,30,4,0,13.52,
softmean,halt-3.0,3.0,5,train,30,5,45000,13.52,includes never-halted
softmean,halt-3.0,3.0,5,val,30,1,0,13.52,
softmean,halt-3.0,3.0,5,val,30,2,0,13.52,
softmean,halt-3.0,3.0,5,val,30,3,0,13.52,
softmean,halt-3.0,3.0,5,val,30,4,0,13.52,
softmean,halt-3.0,3.0,5,val,30,5,5000,13.52,includes never-halted
softmean,halt-3.0,3.0,5,train,40,1,23686,75.54,
softmean,halt-3.0,3.0,5,train,40,2,5147,75.54,
softmean,halt-3.0,3.0,5,train,40,3,755,75.54,
softmean,halt-3.0,3.0,5,train,40,4,202,75.54,
softmean,halt-3.0,3.0,5,train,40,5,15210,75.54,includes never-halted
softmean,halt-3.0,3.0,5,val,40,1,3259,75.54,
softmean,halt-3.0,3.0,5,val,40,2,540,75.54,
softmean,halt-3.0,3.0,5,val,40,3,71,75.54,
softmean,halt-3.0,3.0,5,val,40,4,18,75.54,
softmean,halt-3.0,3.0,5,val,40,5,1112,75.54,includes never-halted
softmean,halt-3.0,3.0,5,train,50,1,33484,77.50,
softmean,halt-3.0,3.0,5,train,50,2,3850,77.50,
softmean,halt-3.0,3.0,5,train,50,3,307,77.50,
softmean,halt-3.0,3.0,5,train,50,4,64,77.50,
softmean,halt-3.0,3.0,5,train,50,5,7295,77.50,includes never-halted
softmean,halt-3.0,3.0,5,val,50,1,2572,77.50,
softmean,halt-3.0,3.0,5,val,50,2,553,77.50,
softmean,halt-3.0,3.0,5,val,50,3,39,77.50,
softmean,halt-3.0,3.0,5,val,50,4,10,77.50,
softmean,halt-3.0,3.0,5,val,50,5,1826,77.50,includes never-halted
softmean,halt-3.0,3.0,5,train,60,1,32878,85.78,
softmean,halt-3.0,3.0,5,train,60,2,4064,85.78,
softmean,halt-3.0,3.0,5,train,60,3,332,85.78,
softmean,halt-3.0,3.0,5,train,60,4,63,85.78,
softmean,halt-3.0,3.0,5,train,60,5,7663,85.78,includes never-halted
softmean,halt-3.0,3.0,5,val,60,1,2668,85.78,
softmean,halt-3.0,3.0,5,val,60,2,394,85.78,
softmean,halt-3.0,3.0,5,val,60,3,43,85.78,
softmean,halt-3.0,3.0,5,val,60,4,9,85.78,
softmean,halt-3.0,3.0,5,val,60,5,1886,85.78,includes never-halted
softmean,halt-3.0,3.0,5,train,70,1,38647,90.04,
softmean,halt-3.0,3.0,5,train,70,2,2004,90.04,
softmean,halt-3.0,3.0,5,train,70,3,188,90.04,
softmean,halt-3.0,3.0,5,train,70,4,34,90.04,
softmean,halt-3.0,3.0,5,train,70,5,4127,90.04,includes never-halted
softmean,halt-3.0,3.0,5,val,70,1,4514,90.04,
softmean,halt-3.0,3.0,5,val,70,2,225,90.04,
softmean,halt-3.0,3.0,5,val,70,3,19,90.04,
softmean,halt-3.0,3.0,5,val,70,4,1,90.04,
softmean,halt-3.0,3.0,5,val,70,5,241,90.04,includes never-halted
softmean,halt-3.0,3.0,5,train,80,1,40885,87.28,
softmean,halt-3.0,3.0,5,train,80,2,1279,87.28,
